iter	Logloss
0	0.6556078958
1	0.6419682697
2	0.6355034842
3	0.6317582005
4	0.6287882707
5	0.625527379
6	0.6228948749
7	0.6214931894
8	0.6202331056
9	0.6191147698
10	0.6173362431
11	0.6158749313
12	0.6149020977
13	0.6130757123
14	0.6121268979
15	0.6116101715
16	0.6109499876
17	0.6101775279
18	0.6095828354
19	0.608936121
20	0.6083841348
21	0.6079994776
22	0.6075228147
23	0.6070092003
24	0.6065187499
25	0.6063021813
26	0.6058404116
27	0.6054615108
28	0.6051867076
29	0.60481707
30	0.6045589625
31	0.6043034502
32	0.6039186114
33	0.6036612184
34	0.6033212912
35	0.6029490449
36	0.6026654302
37	0.6023929522
38	0.6022115051
39	0.601972652
40	0.6016577634
41	0.6014698612
42	0.6012128953
43	0.6009609962
44	0.6003992116
45	0.6002683225
46	0.6001382444
47	0.599833831
48	0.5995772463
49	0.5994034248
50	0.599251052
51	0.59903226
52	0.5986107112
53	0.5983562491
54	0.5982584579
55	0.5979891692
56	0.5978488499
57	0.597615619
58	0.5974644741
59	0.597328552
60	0.5971958959
61	0.5969776887
62	0.596889379
63	0.5967978162
64	0.596675409
65	0.596568542
66	0.5963766837
67	0.5960760576
68	0.5958994475
69	0.5957104272
70	0.5955142932
71	0.5952771812
72	0.595144151
73	0.5949704176
74	0.5948679801
75	0.5947663306
76	0.5946466564
77	0.5944837957
78	0.5943541396
79	0.594219124
80	0.5940507907
81	0.593884253
82	0.593809476
83	0.5937094931
84	0.5936077476
85	0.5935167509
86	0.5933736847
87	0.5932967997
88	0.5930797682
89	0.5930285227
90	0.5929354149
91	0.5928495119
92	0.5926901391
93	0.5925480066
94	0.5924598293
95	0.5923564827
96	0.5923025183
97	0.5922243543
98	0.5921503158
99	0.5920481495
100	0.5919038513
101	0.5917780797
102	0.5915923883
103	0.5914638458
104	0.5912366406
105	0.59109267
106	0.5909856275
107	0.5909119359
108	0.5908451883
109	0.5907547164
110	0.5906855159
111	0.5905893939
112	0.5905149068
113	0.590440305
114	0.5903395451
115	0.590151358
116	0.5899895199
117	0.5898803637
118	0.5898301047
119	0.5897500315
120	0.5896710364
121	0.5895333862
122	0.5894250879
123	0.5893194121
124	0.5892771374
125	0.5892064237
126	0.5891404606
127	0.5889929751
128	0.5888919456
129	0.5888001855
130	0.5887422301
131	0.5886942495
132	0.5886490869
133	0.5885681341
134	0.5885324568
135	0.5884586836
136	0.5883819581
137	0.5883284166
138	0.5882424346
139	0.5881467173
140	0.5880901744
141	0.587951367
142	0.5878834387
143	0.5878149366
144	0.5877375737
145	0.5876535636
146	0.5875913446
147	0.5874981027
148	0.58743281
149	0.5873633868
150	0.5873254243
151	0.5872856831
152	0.5871994451
153	0.5871472781
154	0.5870806866
155	0.5870189386
156	0.586935642
157	0.5868694715
158	0.586813894
159	0.586741259
160	0.5866620954
161	0.5866164857
162	0.5865619003
163	0.5865103027
164	0.5864736047
165	0.5864055066
166	0.5863559784
167	0.5863160121
168	0.5862579817
169	0.5862107863
170	0.5861338474
171	0.5860985458
172	0.5860689322
173	0.5859654573
174	0.5859011256
175	0.5858442167
176	0.5857946591
177	0.5856864358
178	0.5855950224
179	0.5855328202
180	0.5854502474
181	0.5853675924
182	0.5853008678
183	0.5852367847
184	0.5851969685
185	0.5851249153
186	0.5850845469
187	0.5850172054
188	0.5849309611
189	0.5848831849
190	0.584831953
191	0.584753391
192	0.5847088658
193	0.5846767012
194	0.5846373497
195	0.5845879157
196	0.5845184455
197	0.584438932
198	0.5843633708
199	0.5843081428
200	0.5842778988
201	0.5842335801
202	0.584207479
203	0.5841735178
204	0.584137713
205	0.5840973679
206	0.5840653562
207	0.5840416527
208	0.5839765861
209	0.5839422449
210	0.5838282747
211	0.5837802954
212	0.583724999
213	0.5836650115
214	0.5835943802
215	0.583540785
216	0.5834483913
217	0.583376228
218	0.58333716
219	0.5832902709
220	0.5832476689
221	0.5832122591
222	0.5831414835
223	0.5830908445
224	0.5830590471
225	0.5830058721
226	0.582957627
227	0.5828533393
228	0.5828184229
229	0.5827448737
230	0.5827179934
231	0.5826699412
232	0.5826322495
233	0.5825844533
234	0.5825225031
235	0.582481758
236	0.5824452895
237	0.5823916001
238	0.5823522549
239	0.5823074116
240	0.582279125
241	0.5822552417
242	0.5822331035
243	0.582133144
244	0.5821129113
245	0.5820632329
246	0.5820270652
247	0.5819970441
248	0.5819612641
249	0.5819246162
250	0.5818931091
251	0.5818543578
252	0.5818207683
253	0.5817771039
254	0.5817229949
255	0.5816889265
256	0.5816339101
257	0.581602518
258	0.581561164
259	0.5815352187
260	0.5814917354
261	0.5814633606
262	0.5814301261
263	0.5813693057
264	0.5813307098
265	0.5812831234
266	0.5812616355
267	0.5812259635
268	0.5812024237
269	0.5811740403
270	0.5811432229
271	0.5810978216
272	0.5810667976
273	0.5810296586
274	0.5809995631
275	0.580957829
276	0.5809352045
277	0.580902283
278	0.5808586256
279	0.5808242261
280	0.5807744653
281	0.5807200398
282	0.5806400906
283	0.5806146806
284	0.5805866581
285	0.5805697713
286	0.5805359212
287	0.5804966545
288	0.5804725115
289	0.5804161854
290	0.5803717265
291	0.5803331061
292	0.5802962344
293	0.5802448796
294	0.5802158971
295	0.5801871177
296	0.5801582972
297	0.5801337796
298	0.580100443
299	0.5800779294
300	0.5800406926
301	0.5800160428
302	0.579967212
303	0.5799350704
304	0.5798884491
305	0.5798292765
306	0.5798121827
307	0.5797826542
308	0.579743509
309	0.5797201382
310	0.5796703068
311	0.5796459336
312	0.5796050325
313	0.5795563526
314	0.5795195753
315	0.5794886519
316	0.5794521367
317	0.5794303893
318	0.579398385
319	0.5793488964
320	0.579326458
321	0.5792804206
322	0.5792568989
323	0.5792435172
324	0.5792181437
325	0.5791957273
326	0.5791746278
327	0.5791579319
328	0.5791324911
329	0.5791018628
330	0.5790460254
331	0.5790242031
332	0.5790021486
333	0.5789572206
334	0.5789297478
335	0.5788855393
336	0.578840399
337	0.5788111516
338	0.578780353
339	0.5787387851
340	0.5787186138
341	0.5786968734
342	0.578659496
343	0.5786222369
344	0.5786042433
345	0.5785779842
346	0.5785457536
347	0.5785085744
348	0.5784787388
349	0.5784436758
350	0.5784208454
351	0.5784017124
352	0.578389001
353	0.5783669749
354	0.5783295945
355	0.5783051172
356	0.5782689948
357	0.578234175
358	0.5782023091
359	0.5781759687
360	0.5781583994
361	0.5781353159
362	0.5781011795
363	0.5780481101
364	0.5780161384
365	0.5779852623
366	0.5779632124
367	0.5779371183
368	0.5779092181
369	0.5778454292
370	0.5777972842
371	0.5777780787
372	0.5777501381
373	0.5777151899
374	0.5776958377
375	0.5776676284
376	0.5776415544
377	0.5776203188
378	0.5775897557
379	0.5775564164
380	0.5775229476
381	0.5774909373
382	0.5774676557
383	0.5774449176
384	0.5773996845
385	0.5773821814
386	0.5773619154
387	0.5773512958
388	0.5773359934
389	0.5773119396
390	0.5772693917
391	0.577234408
392	0.5771999322
393	0.5771815513
394	0.5771436411
395	0.5771069139
396	0.5770782836
397	0.5770577037
398	0.5770358793
399	0.5770166691
400	0.5769944171
401	0.5769685882
402	0.5769517882
403	0.576916705
404	0.5768934648
405	0.5768713511
406	0.5768258041
407	0.5767948068
408	0.5767535447
409	0.5767329338
410	0.5767144528
411	0.5767033
412	0.5766771981
413	0.5766587874
414	0.5766383939
415	0.5766080189
416	0.5765824963
417	0.5765352156
418	0.5765108059
419	0.5764868879
420	0.5764550419
421	0.5764173176
422	0.5763916867
423	0.5763734392
424	0.5763537959
425	0.5763385942
426	0.5763142146
427	0.5762967598
428	0.5762762202
429	0.5762599617
430	0.5762289837
431	0.5761987928
432	0.5761716957
433	0.5761532219
434	0.5761329455
435	0.576058577
436	0.5760467304
437	0.5760322774
438	0.5760036458
439	0.5759733627
440	0.5759561997
441	0.5759301728
442	0.5759104925
443	0.5758638932
444	0.5758277242
445	0.5758108959
446	0.5757743989
447	0.5757621458
448	0.5757405422
449	0.5757189023
450	0.5756974843
451	0.575673132
452	0.5756382609
453	0.5756231919
454	0.575589971
455	0.5755581677
456	0.5755265444
457	0.5755015244
458	0.5754787917
459	0.575462772
460	0.5754452538
461	0.5754327656
462	0.5754058449
463	0.5753881438
464	0.5753725616
465	0.5753380625
466	0.5753041616
467	0.5752883157
468	0.5752682691
469	0.5752399035
470	0.5752141472
471	0.5751886978
472	0.5751496444
473	0.5751218795
474	0.5751019028
475	0.5750867825
476	0.5750665364
477	0.5750417251
478	0.5750223258
479	0.575001981
480	0.5749837954
481	0.5749589989
482	0.5749373931
483	0.5749143801
484	0.5749012416
485	0.5748836289
486	0.5748649839
487	0.5748336724
488	0.5748102999
489	0.5747679739
490	0.5747520694
491	0.574732856
492	0.5747106055
493	0.5746917367
494	0.574671784
495	0.5746520042
496	0.5746322958
497	0.5746086291
498	0.5745833452
499	0.5745530876
500	0.5745297826
501	0.5745094141
502	0.5744876087
503	0.5744739818
504	0.5744594149
505	0.574426795
506	0.5743940013
507	0.5743783198
508	0.57435586
509	0.574340876
510	0.5743178151
511	0.5742980171
512	0.5742846209
513	0.5742618564
514	0.5742477371
515	0.5742249537
516	0.5742035461
517	0.5741906541
518	0.5741800578
519	0.574164178
520	0.574148869
521	0.5741351921
522	0.5741036056
523	0.5740890504
524	0.5740738937
525	0.5740607382
526	0.5740403833
527	0.5740231667
528	0.5740093748
529	0.5739872409
530	0.5739652193
531	0.5739187642
532	0.5738748805
533	0.5738516656
534	0.573829538
535	0.573814007
536	0.5737997146
537	0.5737595277
538	0.5737456403
539	0.5737335496
540	0.5737079185
541	0.5736926012
542	0.5736708651
543	0.5736434263
544	0.5736220099
545	0.5735925052
546	0.5735777098
547	0.5735536902
548	0.5735386239
549	0.5735209789
550	0.5735031866
551	0.5734777769
552	0.5734630067
553	0.5734449292
554	0.5734195428
555	0.5733775831
556	0.5733625711
557	0.5733525747
558	0.5733248218
559	0.5733040555
560	0.5732826109
561	0.5732656533
562	0.5732516685
563	0.5732245118
564	0.5732097165
565	0.5731885952
566	0.5731735477
567	0.5731587223
568	0.5731411076
569	0.5731113626
570	0.5730970164
571	0.5730892583
572	0.5730713836
573	0.5730478721
574	0.5730286207
575	0.5729905811
576	0.5729701866
577	0.5729527334
578	0.5729309158
579	0.5729137273
580	0.5728840305
581	0.572863927
582	0.5728445583
583	0.5728339359
584	0.5728159058
585	0.5727993088
586	0.5727590887
587	0.5727406858
588	0.5727147241
589	0.5726957809
590	0.5726634148
591	0.5726289386
592	0.5726155205
593	0.5725876248
594	0.5725650919
595	0.5725482444
596	0.57252944
597	0.5725073572
598	0.5724830531
599	0.5724658675
600	0.5724528509
601	0.5724355373
602	0.5723861047
603	0.5723741825
604	0.5723481853
605	0.5723298882
606	0.5723102458
607	0.5722871833
608	0.572274189
609	0.5722538554
610	0.572227887
611	0.5722045193
612	0.5721923875
613	0.5721792765
614	0.572170658
615	0.5721445579
616	0.5721224924
617	0.5721079737
618	0.5720941315
619	0.5720711947
620	0.5720561414
621	0.5720314344
622	0.5720206031
623	0.5719944628
624	0.5719773871
625	0.5719627896
626	0.5719482722
627	0.5719274177
628	0.5719108217
629	0.5719020397
630	0.5718877661
631	0.5718672631
632	0.5718351949
633	0.5718199518
634	0.5718091808
635	0.5717939312
636	0.571780939
637	0.5717717254
638	0.5717609195
639	0.5717492404
640	0.5717371179
641	0.5717096937
642	0.5716991074
643	0.5716758364
644	0.5716597735
645	0.5716428494
646	0.5716232329
647	0.5716037175
648	0.5715864332
649	0.5715651161
650	0.5715545609
651	0.5715305529
652	0.5715157753
653	0.5714967149
654	0.5714801195
655	0.5714652876
656	0.5714451402
657	0.5714350818
658	0.5714260141
659	0.5714037675
660	0.5713799302
661	0.5713581861
662	0.5713407876
663	0.5713248506
664	0.5713145754
665	0.571297117
666	0.5712823428
667	0.5712632366
668	0.5712519345
669	0.5712364634
670	0.5712110606
671	0.5712028831
672	0.5711888986
673	0.5711715434
674	0.5711510335
675	0.5711426104
676	0.5711262269
677	0.5711077983
678	0.5710953767
679	0.5710781012
680	0.5710587559
681	0.5710505676
682	0.5710362389
683	0.5710160212
684	0.5709994909
685	0.570986235
686	0.5709701971
687	0.5709521173
688	0.5709345671
689	0.5709223008
690	0.5709115098
691	0.5708861959
692	0.5708617732
693	0.5708397373
694	0.570830339
695	0.5707898992
696	0.5707725557
697	0.5707463443
698	0.570733177
699	0.5707044249
700	0.5706876141
701	0.5706480644
702	0.5706361015
703	0.5706044919
704	0.5705963996
705	0.5705837545
706	0.570573135
707	0.5705566037
708	0.5705377418
709	0.5705228794
710	0.5705009601
711	0.5704864816
712	0.5704765006
713	0.57046608
714	0.5704542295
715	0.5704359909
716	0.5704208857
717	0.5704140782
718	0.5703870175
719	0.5703767473
720	0.5703647461
721	0.5703484167
722	0.5703165904
723	0.5703008841
724	0.5702910715
725	0.5702820272
726	0.5702706968
727	0.5702631147
728	0.5702462505
729	0.5702299545
730	0.5702168244
731	0.5702011228
732	0.5701868438
733	0.5701774284
734	0.5701520998
735	0.5701408612
736	0.5701211387
737	0.5701092642
738	0.570094955
739	0.5700822228
740	0.5700626669
741	0.5700534336
742	0.570038373
743	0.5700224904
744	0.570007312
745	0.5699951992
746	0.5699812872
747	0.5699684127
748	0.5699507376
749	0.569936873
750	0.5699229606
751	0.5699132345
752	0.5699000692
753	0.5698808737
754	0.5698673754
755	0.569852475
756	0.5698415095
757	0.5698246746
758	0.5698133509
759	0.5697915312
760	0.5697755763
761	0.5697632562
762	0.5697452321
763	0.5697316505
764	0.5697058836
765	0.569690365
766	0.5696747697
767	0.5696468227
768	0.5696380543
769	0.569618405
770	0.569604711
771	0.5695902121
772	0.569570887
773	0.5695627636
774	0.5695438987
775	0.5695207697
776	0.5695056197
777	0.5694905734
778	0.5694813688
779	0.5694682231
780	0.5694444663
781	0.5694308267
782	0.5694186806
783	0.5694067222
784	0.5693929347
785	0.5693864855
786	0.5693608945
787	0.569347856
788	0.5693242608
789	0.56931173
790	0.569296671
791	0.5692778665
792	0.5692642289
793	0.569249277
794	0.5692362545
795	0.5692223766
796	0.5692107382
797	0.5692006472
798	0.5691778741
799	0.5691639415
800	0.5691523027
801	0.5691423297
802	0.5691230577
803	0.5691083286
804	0.5691006619
805	0.5690884017
806	0.5690765701
807	0.5690533268
808	0.5690356408
809	0.5690131688
810	0.5689935588
811	0.5689823336
812	0.5689729373
813	0.5689587353
814	0.5689461537
815	0.5689280687
816	0.5689121537
817	0.5688929879
818	0.5688775605
819	0.568864099
820	0.5688487134
821	0.5688362148
822	0.5688228187
823	0.5688073736
824	0.568791461
825	0.5687691815
826	0.5687546167
827	0.5687300415
828	0.5687083064
829	0.5686984266
830	0.5686905472
831	0.5686695644
832	0.5686563222
833	0.5686365735
834	0.5686177172
835	0.5685920442
836	0.5685796716
837	0.5685637751
838	0.568547134
839	0.568535112
840	0.5685256638
841	0.5685134691
842	0.5685013176
843	0.5684820256
844	0.5684717506
845	0.5684579809
846	0.5684485412
